,Number,Name_of_Covered_Entity,Industry_Type,State,Business_Associate_Involved,Individuals_Affected,Date_of_Breach,Type_of_Breach,Location_of_Breached_Information,Date_Posted_or_Updated,Summary,breach_start,breach_end,year
825,824,"Carol L. Patrick, Ph.D.",Healthcare,OH,,517,08/08/2013,Theft,Network Server,23/01/2014,,08/08/2013,09/08/2013,2013
826,825,HOPE Family Health,Healthcare,TN,,6932,08/04/2013,Theft,Laptop,23/01/2014,,04/08/2013,NA,2013
827,826,"Paul G. Klein, DPM",Healthcare,NJ,,2500,10/01/2013,Theft,Laptop,20/06/2014,"

OCR opened an investigation of the covered entity (CE), Paul G. Klein DPM, after it reported an encrypted and password protected laptop was stolen that contained the electronic protected health information (ePHI) of 2,500 individuals.  The ePHI included names, addresses, dates of birth, social security numbers, diagnosis conditions, lab test results, medications, medical notes, and treatment plans.  Upon discovery of the breach, the CE filed a police report to recover the stolen item.  As a result of OCR's investigation, the CE provided confirmation that there was encryption software and multi-layered password protection software installed on the stolen laptop.  OCR determined that the impermissible disclosure of ePHI did not constitute a breach under the Privacy Rule's breach notification rule and provided technical assistance to the CE regarding the requirements of the breach notification rule.



",01/10/2013,NA,2013
828,827,UnityPoint Health Affiliated Covered Entity (\UnityPoint\),Healthcare,IA,,1825,02/01/2013,Unauthorized Access/Disclosure,Electronic Medical Record,23/01/2014,,01/02/2013,27/08/2013,2013
829,828,TSYS Employee Health Plan,Healthcare,GA,"Paragon Benefits, Inc.",5232,09/05/2013,Theft,E-mail,23/01/2014,,05/09/2013,NA,2013
830,829,"University of California, San Francisco",Education,CA,,3553,09/09/2013,Theft,Paper,23/01/2014,,09/09/2013,NA,2013
831,830,"Reconstructive Orthopaedic Associates II, P.C. d/b/a Rothman Institute",Healthcare,PA,,2350,13/05/2013,Unauthorized Access/Disclosure,Paper,23/01/2014,,18/03/2013,13/05/2013,2013
832,831,Group Health Cooperative,Healthcare,WA,,1015,16/09/2013,Other,Paper,23/01/2014,,16/09/2013,NA,2013
833,832,Schuylkill Health System,Healthcare,PA,,2810,08/07/2013,Theft,Laptop,23/01/2014,,07/08/2013,NA,2013
834,833,CaroMont Medical Group,Healthcare,NC,,1310,08/05/2013,Other,E-mail,23/01/2014,,05/08/2013,NA,2013
835,834,Mount SInai Medical Center,Healthcare,NY,,1586,08/06/2013,Improper Disposal,Paper,23/01/2014,,06/08/2013,NA,2013
836,835,Memorial Hospital of Lafayette County,Healthcare,WI,Healthcare Management System ,4330,08/03/2013,Unauthorized Access/Disclosure,Paper,23/01/2014,,03/08/2013,NA,2013
837,836,Saint Louis University,Education,MO,,3100,25/07/2013,Unauthorized Access/Disclosure,E-mail,23/01/2014,,25/07/2013,NA,2013
838,837,MUSC Physicians & MUHA,Healthcare,SC,BlackHawk,7120,30/06/2013,Hacking/IT Incident,Network Server,12/02/2014,,30/06/2013,NA,2013
840,839,"Access Counseling, LLC",Healthcare,IN,,566,23/08/2013,Theft,Laptop,23/01/2014,,23/08/2013,NA,2013
841,840,Rose Medical Center,Healthcare,CO,,606,06/08/2013,Improper Disposal,Paper,23/01/2014,,28/06/2013,16/07/2013,2013
842,841,BriovaRx,Pharmacy,IL,,1067,07/03/2013,Unauthorized Access/Disclosure,E-mail,23/01/2014,,03/07/2013,11/07/2013,2013
843,842,"North Country Hospital and Health Center, Inc",Healthcare,VT,,550,18/09/2013,Theft,Laptop,23/01/2014,,18/09/2013,NA,2013
844,843,"Hope Community Resources, Inc.",Community Services,AK,,1556,19/08/2013,Unauthorized Access/Disclosure,E-mail,23/01/2014,,19/08/2013,NA,2013
847,846,Mount Sinai Medical Center,Healthcare,NY,,610,08/01/2013,Loss,Other Portable Electronic Device,12/02/2014,,01/08/2013,NA,2013
848,847,Texas Health Presbyterian Dallas Hospital,Healthcare,TX,,949,22/08/2013,Theft,Desktop Computer,12/02/2014,,22/08/2013,NA,2013
849,848,Seton Healthcare Family,Healthcare,TX,,5500,10/04/2013,Theft,Laptop,23/01/2014,,04/10/2013,NA,2013
852,851,SSM St. Mary's Health Center,Healthcare,MO,Saint Louis University,1300,25/07/2013,Unauthorized Access/Disclosure,E-mail,23/01/2014,,25/07/2013,NA,2013
853,852,Good Samaritan Hospital,Healthcare,CA,,3833,07/08/2013,Theft,Laptop,23/01/2014,,08/07/2013,NA,2013
854,853,SSM Health Care of Wisconsin DBA: St. Mary's Janesville Hospital,Healthcare,WI,,631,27/08/2013,Theft,Laptop,23/01/2014,,27/08/2013,NA,2013
855,854,AHMC Healthcare Inc. and affiliated Hospitals,Healthcare,CA,,729000,10/12/2013,Theft,Laptop,23/01/2014,,12/10/2013,NA,2013
856,855,"Greater Dallas Orthopaedics, PLLC",Consulting/Finance,TX,,5840,30/08/2013,Theft,Desktop Computer,23/01/2014,,30/08/2013,NA,2013
857,856,"Spirit Home Health Care, Corp",Healthcare,FL,"Spirit Home Health Care, Corp",603,19/09/2013,Improper Disposal,Paper,23/01/2014,,19/09/2013,NA,2013
859,858,"Reimbursement Technologies, Inc.",Healthcare,PA,,2300,05/01/2013,Unauthorized Access/Disclosure,Network Server,23/01/2014,,01/05/2013,26/07/2013,2013
860,859,Comprehensive Psychological Services LLC,Mental Health,SC,,3500,28/10/2013,Theft,Laptop,23/01/2014,,28/10/2013,NA,2013
861,860,"Superior HealthPlan, Inc.",Healthcare,TX,,6284,10/04/2013,Other,Paper,23/01/2014,,04/10/2013,NA,2013
862,861,Genesis Rehabilitation Services,Healthcare,PA,,1167,30/08/2013,Loss,Other Portable Electronic Device,23/01/2014,,30/08/2013,NA,2013
863,862,"Colorado Health & Wellness, Inc.",Healthcare,CO,,651,09/04/2013,Unauthorized Access/Disclosure,Electronic Medical Record,23/01/2014,,04/09/2013,NA,2013
864,863,Barnabas Health Medical Group,Healthcare,NJ,,1100,24/09/2013,Theft,Laptop,23/01/2014,,24/09/2013,NA,2013
865,864,"DaVita, a division of DaVita HealthCare Partners Inc",Healthcare,CO,,11500,09/06/2013,Other,Laptop,23/01/2014,,06/09/2013,NA,2013
866,865,Blue Cross and Blue Shield of North Carolina,Insurance,NC,,687,14/10/2013,Unauthorized Access/Disclosure,Paper,23/01/2014,,14/10/2013,NA,2013
867,866,North Carolina Department of Health and Human Services - Division of State Operated Health Care Facilities  ,Healthcare,NC,,1315,13/08/2013,Unauthorized Access/Disclosure,Other,23/01/2014,,13/08/2013,NA,2013
868,867,Puerto Rico Health Insurance Administration (PRHIA),Healthcare,PR,Triple S Salud Inc.,13336,20/09/2013,Unauthorized Access/Disclosure,Paper,23/01/2014,,20/09/2013,NA,2013
869,868,Triple-S Salud ,Insurance,PR,,70189,20/09/2013,Unauthorized Access/Disclosure,Paper,23/01/2014,,20/09/2013,NA,2013
871,870,Kemmet Dental Design ,Dental,ND,,2000,11/10/2013,Theft,Paper,23/01/2014,,10/11/2013,NA,2013
872,871,Hospice of the Chesapeake,Healthcare,MD,,7606,08/09/2013,Unauthorized Access/Disclosure,E-mail,23/01/2014,,09/08/2013,NA,2013
873,872,"Scottsdale Dermatology, LTD",Healthcare,AZ,All Source Medical Management,1456,01/01/2013,Theft,Other,23/01/2014,,01/01/2013,04/10/2013,2013
874,873,Memorial Sloan-Kettering Cancer Center,Healthcare,NY,,2279,08/01/2013,Loss,Other Portable Electronic Device,18/02/2014,,01/08/2013,NA,2013
875,874,Gerdau Ameristeel Health and Welfare Plan,Healthcare,FL,Health Fitness Corporation,3804,27/09/2013,Theft,Laptop,18/02/2014,,27/09/2013,NA,2013
876,875,Gerdau Macsteel Health and Welfare Plan,Healthcare,MI,Health Fitness Corporation,4837,27/09/2013,Theft,Laptop,18/02/2014,,27/09/2013,NA,2013
877,876,UHS-Pruitt Corporation,Healthcare,GA,,1300,26/09/2013,Theft,Laptop,23/01/2014,,26/09/2013,NA,2013
878,877,"United Dynacare, LLC dba Dynacare Laboratories",Healthcare,WI,,9328,22/10/2013,Theft,Other Portable Electronic Device,23/01/2014,,22/10/2013,NA,2013
879,878,Redwood Memorial Hospital,Healthcare,CA,,1039,11/06/2013,Loss,Other Portable Electronic Device,23/01/2014,,06/11/2013,NA,2013
880,879,Kaiser Foundation Hospital- Orange County,Healthcare,CA,,49000,25/09/2013,Loss,Other Portable Electronic Device,23/01/2014,,25/09/2013,NA,2013
881,880,Jones Chiropractic and Maximum Health,Healthcare,IN,,1500,13/10/2013,Theft,Desktop Computer,23/01/2014,,13/10/2013,NA,2013
882,881,Ronald Schubert MD PLLC,Healthcare,WA,,950,22/11/2013,Theft,Laptop,23/01/2014,,22/11/2013,NA,2013
884,883,UW Medicine,Healthcare,WA,,76183,10/02/2013,Hacking/IT Incident,Desktop Computer,18/02/2014,,02/10/2013,NA,2013
885,884,City of Chicago,Government,IL,,2080,10/07/2013,Unauthorized Access/Disclosure,Network Server,23/01/2014,,18/06/2013,07/10/2013,2013
886,885,CIty of Joliet,Government,IL,"Quality Health Claims Consultants, LLC",1573,10/08/2013,Unauthorized Access/Disclosure,E-mail,23/01/2014,,08/10/2013,NA,2013
887,886,SIU HealthCare,Healthcare,IL,,1891,13/09/2013,Theft,Laptop,23/01/2014,,13/09/2013,15/10/2013,2013
888,887,The Good Samaritan Health Center,Healthcare,GA,,5000,11/06/2013,Other,Desktop Computer,23/01/2014,,06/11/2013,NA,2013
889,888,UniHealth Source,Healthcare,GA,,4500,10/08/2013,Theft,Laptop,23/01/2014,,08/10/2013,NA,2013
890,889,Walgreen Co.,Retail,IL,,17350,10/04/2013,Other,Paper,23/01/2014,,18/09/2013,04/10/2013,2013
892,891,Florida Digestive Health Specialists,Healthcare,FL,,4400,03/06/2013,Unauthorized Access/Disclosure,Desktop Computer,23/01/2014,,06/03/2013,09/09/2013,2013
893,892,"Northside Hospital, Inc.",Healthcare,GA,,4879,10/10/2013,Loss,Laptop,23/01/2014,,10/10/2013,NA,2013
894,893,"Health Help, Inc.",Healthcare,KY,,535,15/10/2013,Theft,Other Portable Electronic Device,23/01/2014,,15/10/2013,NA,2013
895,894,L.A. Gay & Lesbian Center,Healthcare,CA,,59000,11/08/2013,Hacking/IT Incident,Network Server,23/01/2014,,17/09/2013,08/11/2013,2013
896,895,Mosaic,Healthcare,NE,,3857,10/11/2013,Other,E-mail,23/01/2014,,11/10/2013,NA,2013
897,896,New Jersey Department of Human Services,Government,NJ,Island Peer Review Organization,9642,18/10/2013,Loss,Other Portable Electronic Device,23/01/2014,,18/10/2013,NA,2013
898,897,"Fairfax County, Virginia",Government,VA,Molina Healthcare In,1499,09/09/2013,Unauthorized Access/Disclosure,Network Server,23/01/2014,,09/09/2013,03/10/2013,2013
899,898,Wyoming Department of Health,Healthcare,WY,,11935,16/10/2013,Unauthorized Access/Disclosure,Network Server,23/01/2014,,16/10/2013,NA,2013
900,899,Shiloh Medical Clinic,Healthcare,MT,,1900,11/08/2013,Unauthorized Access/Disclosure,E-mail,23/01/2014,,08/11/2013,NA,2013
901,900,South Carolina Health Insurance Pool,Healthcare,SC,DeLoach & Williamson,3432,16/10/2013,Theft,Laptop,23/01/2014,,16/10/2013,NA,2013
902,901,Tennova Cardiology,Government,TN,Colby DeHart,2777,21/10/2013,Theft,Laptop,23/01/2014,,21/10/2013,NA,2013
903,902,Delta Dental of Pennsylvania,Dental,PA,ZDI,1674,16/10/2013,Loss,Paper,13/03/2014,,16/10/2013,NA,2013
904,903,"Molina Healthcare of Texas, Inc.",Healthcare,TX,,2826,10/01/2013,Other,Paper,23/01/2014,,01/10/2013,NA,2013
905,904,"Rob Meaglia, DDS",Dental,CA,,1400,16/12/2013,Theft,Desktop Computer,23/01/2014,,16/12/2013,NA,2013
906,905,Jeff Spiegel,Healthcare,MA,,832,25/11/2013,Unauthorized Access/Disclosure,E-mail,13/03/2014,,25/11/2013,NA,2013
907,906,Tranquility Counseling Services,Healthcare,NC,,1683,11/01/2013,Other,Paper,23/01/2014,,01/11/2013,NA,2013
908,907,Florida Department of Health,Healthcare,FL,,2354,30/10/2013,Unauthorized Access/Disclosure,Desktop Computer,05/03/2014,,30/10/2013,NA,2013
909,908,"New Mexico Oncology Hematology Consultants, LTD",Healthcare,NM,,12354,13/11/2013,Theft,Laptop,23/01/2014,,13/11/2013,NA,2013
910,909,Department of Health Care Policy & Financing,Healthcare,CO,Colorado Community Health Alliance (CCHA)/Physicians Health Partners,1918,21/11/2013,Unauthorized Access/Disclosure,E-mail,21/02/2014,,21/11/2013,NA,2013
911,910,"Horizon Healthcare Services, Inc., doing business as Horizon Blue Cross Blue Shield of New Jersey, and its affiliates",Healthcare,NJ,,839711,11/01/2013,Theft,Laptop,21/02/2014,,01/11/2013,NA,2013
912,911,Phoebe Putney Memorial Hospital,Healthcare,GA,,6989,11/05/2013,Loss,Desktop Computer,11/02/2014,,05/11/2013,NA,2013
914,913,University of Pennsylvania Health System,Healthcare,PA,"RevSpring, Inc.",3000,26/11/2013,Other,Paper,11/02/2014,,26/11/2013,NA,2013
915,914,North Carolina Department of Health and Human Services ,Healthcare,NC,,48752,30/12/2013,Unauthorized Access/Disclosure,Other,11/02/2014,,30/12/2013,NA,2013
916,915,101 FAMILY MEDICAL GROUP,Healthcare,CA,"Phreesia, Inc",2500,23/11/2013,Theft,Laptop,11/02/2014,,23/11/2013,NA,2013
917,916,Tri Lakes Medical Center,Healthcare,MS,,1489,20/09/2013,Hacking/IT Incident,Network Server,11/02/2014,,20/09/2013,NA,2013
918,917,VA Dept. of Medical Assistance Services,Healthcare,VA,Virginia Premier Health Plan (VPHP),25513,15/11/2013,Unauthorized Access/Disclosure,Paper,11/02/2014,,15/11/2013,NA,2013
919,918,Cook County Health & Hospitals System,Healthcare,IL,,22511,11/12/2013,Other,E-mail,11/02/2014,,12/11/2013,NA,2013
920,919,Southwest General Health Center,Healthcare,OH,,953,13/04/2013,Unknown,Other,30/05/2014,,13/04/2013,31/10/2013,2013
924,923,Urology Centers of Alabama PC and Urology Health Foundation,Healthcare,AL,"Birmingham Printing and Publishing, Inc dba Paper Airplane",1085,22/08/2013,Other,Other,03/06/2014,,22/08/2013,NA,2013
925,924,Medical Mutual of Ohio,Healthcare,OH,,1420,16/10/2013,Unauthorized Access/Disclosure,Paper,13/06/2014,,16/10/2013,NA,2013
926,925,Unity Health Plans Insurance Corporation,Healthcare,WI,University of Wisconsin-Madison School of Pharmacy,41437,12/12/2013,Loss,Other Portable Electronic Device,21/02/2014,,12/12/2013,NA,2013
927,926,The University of Texas MD Anderson Cancer Center,Education,TX,,3598,12/02/2013,Loss,Other Portable Electronic Device,11/02/2014,,02/12/2013,NA,2013
928,927,Beebe Medical Center,Healthcare,DE,,1883,09/02/2013,Other,Laptop,21/02/2014,,02/09/2013,NA,2013
929,928,St. Joseph Health System ,Healthcare,TX,,405000,16/12/2013,Hacking/IT Incident,Network Server,11/02/2014,,16/12/2013,NA,2013
930,929,"Min Yi, M.D.",Healthcare,CA,,4676,28/05/2013,Theft,Other Portable Electronic Device,21/02/2014,,28/05/2013,NA,2013
931,930,Easter Seal Society of Superior California,Healthcare,CA,,3026,12/10/2013,Theft,Laptop,21/02/2014,,10/12/2013,NA,2013
932,931,PruittHealth Pharmacy Services,Healthcare,GA,,841,12/06/2013,Theft,Laptop,25/02/2014,,06/12/2013,NA,2013
933,932,"RGH Enterprises, Inc.",Healthcare,OH,,4230,03/11/2013,Theft,Network Server,24/06/2014,"Computer hackers installed malware that intercepted the electronic protected health information (ePHI) of approximately 4,230 individuals using the covered entity's (CE's) website.  The ePHI included names, dates of birth, phone numbers, shipping and billing addresses, email addresses, credit card issuers, expiration dates, the last 4 digits of credit card numbers, account numbers, primary physicians, diagnoses, order histories, and health insurers.  Following the breach, the CE removed the malware from the affected computer servers, migrated the website to non-compromised ",09/03/2013,11/03/2013,2013
934,933,Network Pharmacy Knoxville,Retail,TN,,9602,18/11/2013,Theft,Laptop,11/02/2014,,18/11/2013,NA,2013
935,934,Saint Francis Hospital and Medical Center,Healthcare,CT,,858,27/12/2013,Theft,Paper,24/03/2014,,27/12/2013,NA,2013
936,935,Health Dimensions,Healthcare,MI,,5370,11/02/2013,Theft,Network Server,11/02/2014,,02/11/2013,NA,2013
937,936,COMPLETE MEDICAL HOMECARE,Healthcare,KS,,1700,12/12/2013,Unauthorized Access/Disclosure,Other Portable Electronic Device,11/02/2014,,12/12/2013,NA,2013
938,937,Hospital for Special Surgery,Healthcare,NY,,937,19/03/2013,Theft,Paper,26/02/2014,,19/03/2013,NA,2013
939,938,The Brooklyn Hospital Center,Healthcare,NY,,2172,12/02/2013,Loss,Other Portable Electronic Device,24/02/2014,,02/12/2013,NA,2013
941,940,WA State Department of Social & Health Services,Healthcare,WA,,3104,19/08/2013,Unauthorized Access/Disclosure,Paper,21/04/2014,,19/08/2013,NA,2013
943,942,University of Miami,Education,FL,,13074,27/06/2013,Loss,Paper,21/04/2014,,27/06/2013,NA,2013
944,943,"Supportive Concepts for Families, Inc.",Healthcare,PA,,593,02/06/2013,Unauthorized Access/Disclosure,Network Server,24/02/2014,,06/02/2013,NA,2013
945,944,Health Care Solutions at Home Inc.,Healthcare,OH,,1139,17/12/2013,Other,Other,12/03/2014,,17/12/2013,NA,2013
946,945,University of California Davis Medical Center,Healthcare,CA,,2269,13/12/2013,Hacking/IT Incident,E-mail,21/04/2014,,13/12/2013,NA,2013
947,946,"St. Vincent Hospital and Healthcare, Inc",Healthcare,IN,,1142,23/12/2013,Theft,Laptop,12/03/2014,,23/12/2013,NA,2013
951,950,Inspira Health Network Inc.,Healthcare,NJ,,1411,23/12/2013,Theft,Desktop Computer,12/03/2014,,23/12/2013,NA,2013
953,952,"Care Advantage, Inc.",Healthcare,VA,,3458,01/01/2013,Theft,Laptop,24/03/2014,,01/01/2013,NA,2013
954,953,HealthSource of Ohio Inc.,Healthcare,OH,Pair Networks Inc.,8845,18/11/2013,Unauthorized Access/Disclosure,Other,12/03/2014,,18/11/2013,NA,2013
955,954,"The Kroger Co., for itself and its affiliates and subsidiaries",Retail,OH,,504,30/10/2013,Other,Electronic Medical Record,21/04/2014,,30/10/2013,NA,2013
956,955,"Cornerstone Health Care, PA",Healthcare,NC,,548,31/12/2013,Theft,Laptop,12/03/2014,,31/12/2013,NA,2013
958,957,All for Kids Pediatric Clinic,Healthcare,AR,Data Media,600,27/12/2013,Other,Other,24/03/2014,,27/12/2013,NA,2013
959,958,Eureka Internal Medicine,Healthcare,CA,,3534,25/09/2013,Improper Disposal,Paper,24/03/2014,,25/09/2013,NA,2013
960,959,Brazos Valley Pathology,Laboratory,TX,St. Joseph Health System,3300,16/12/2013,Hacking/IT Incident,Network Server,24/06/2014,,16/12/2013,NA,2013
962,961,Monarch Women's Health,Healthcare,AL,"PracMan, Inc.",1145,22/08/2013,Hacking/IT Incident,Network Server,02/06/2014,,22/08/2013,NA,2013
963,962,"Punuru J.M. Reddy, MD, Inc.",Healthcare,AL,"PracMan, Inc.",1179,22/08/2013,Hacking/IT Incident,Network Server,25/03/2014,,22/08/2013,NA,2013
966,965,Mission City Community Network,Community Services,CA,,7800,31/05/2013,Theft,E-mail,21/04/2014,,31/05/2013,NA,2013
967,966,"Partners In Nephrology & Endocrinology, P.C.",Healthcare,PA,,5000,13/11/2013,Other,Other,24/03/2014,,13/11/2013,NA,2013
971,970,Valley View Hospital Association,Healthcare,CO,,5415,09/11/2013,Other,Desktop Computer,21/04/2014,,11/09/2013,NA,2013
972,971,Hospitalists of Arizona,Healthcare,AZ,,1706,31/12/2013,Theft,Laptop,24/03/2014,,31/12/2013,NA,2013
982,981,Yellowstone Boys and Girls Ranch,Healthcare,MT,,543,07/11/2013,Theft,Paper,24/06/2014,,11/07/2013,NA,2013
985,984,Susquehanna Health,Healthcare,PA,,657,12/05/2013,Unauthorized Access/Disclosure,E-mail,21/04/2014,,05/12/2013,NA,2013
989,988,"Myriad Genetic Laboratories, Inc.",Healthcare,UT,,643,03/06/2013,Unauthorized Access/Disclosure,E-mail,03/06/2014,,06/03/2013,NA,2013
990,989,Medical Center of Plano,Healthcare,TX,"RelayHealth, a division of McKesson",1000,12/10/2013,Unauthorized Access/Disclosure,Other,03/06/2014,,10/12/2013,NA,2013
991,990,Florida Healthy Kids Corporation,Healthcare,FL,"Policy Studies, Inc. / Postal Center International, Inc.",580,13/11/2013,Unauthorized Access/Disclosure,Paper,21/04/2014,,13/11/2013,NA,2013
995,994,Triple-S Salud ,Healthcare,PR,,5795,01/01/2013,Theft,Other,24/06/2014,,01/01/2013,NA,2013
